Name,URL,Price,Ratings,Reviews,Description,ASIN,Manufacturer
Mokobara The Transit Backpack Laptop Bag for Men and Women,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09980192KXA2PDWFYC7J&url=%2FMokobara-Transit-Backpack-Laptop-Private%2Fdp%2FB09V7G6CTW%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658611238%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658611238&id=6733674394853684&widgetName=sp_atf,"5,590",4.3,82,NA,NA,NA
"Mokobara Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01666031UDKFT7UL670E&url=%2FMokobara-Backpack-Laptop-Pretzel-Limited%2Fdp%2FB09WVH41X9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658611238%26smid%3DA2ZJIE4OXD710M%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658611238&id=6733674394853684&widgetName=sp_atf,"4,490",4.1,74,NA,NA,NA
American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658611238&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,"1,099",4.1,"42,643",NA,NA,NA
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658611238&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-4,645,3.9,"11,189",NA,NA,NA
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658611238&sprefix=ba%2Caps%2C283&sr=8-5,699,3.9,482,NA,NA,NA
NA,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B075Y72PHZ&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B075Y72PHZ&pd_rd_r=a02d34d4-301e-4691-a799-99f6c0c4c8c1&pd_rd_w=ME0jg&pd_rd_wg=dX9Ak&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=BQN2W120WD5RWPBVV03M&qid=1658611238&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,749,4.2,"43,166",NA,NA,NA
NA,https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07CDD6YS2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07CDD6YS2&pd_rd_r=a02d34d4-301e-4691-a799-99f6c0c4c8c1&pd_rd_w=ME0jg&pd_rd_wg=dX9Ak&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=BQN2W120WD5RWPBVV03M&qid=1658611238&smid=A20PVHIS8DLHRJ&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,"1,599",4.4,"10,172",NA,NA,NA
NA,https://www.amazon.in/Jaden-Black-Theft-Waterproof-Backpack/dp/B07B1TFJ7M/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07B1TFJ7M&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07B1TFJ7M&pd_rd_r=a02d34d4-301e-4691-a799-99f6c0c4c8c1&pd_rd_w=ME0jg&pd_rd_wg=dX9Ak&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=BQN2W120WD5RWPBVV03M&qid=1658611238&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,799,4.0,"4,824",NA,NA,NA
NA,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07K8KLB3P&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07K8KLB3P&pd_rd_r=a02d34d4-301e-4691-a799-99f6c0c4c8c1&pd_rd_w=ME0jg&pd_rd_wg=dX9Ak&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=BQN2W120WD5RWPBVV03M&qid=1658611238&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,448,4.3,"10,597",NA,NA,NA
NA,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_14_trfob_0_B09SB5DP5Y?content-id=amzn1.sym.9eb4d2f1-b61c-4285-80eb-8b728a3d4d96%3Aamzn1.sym.9eb4d2f1-b61c-4285-80eb-8b728a3d4d96&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=a02d34d4-301e-4691-a799-99f6c0c4c8c1&pd_rd_w=tlPuW&pd_rd_wg=dX9Ak&pf_rd_p=9eb4d2f1-b61c-4285-80eb-8b728a3d4d96&pf_rd_r=BQN2W120WD5RWPBVV03M&qid=1658611238&smid=A1R6MZ1RCRIV13&sprefix=ba%2Caps%2C283&sr=1-1-2f21691d-8543-4979-a589-ab12f466fee3,332,4.5,9,NA,NA,NA
